batter,innings,runs,balls_faced,highest_score,fours,sixes,strike_rate
V Kohli,244,8014,6236,113,708.0,273.0,128.51186658114176
S Dhawan,221,6769,5483,106,768.0,153.0,123.45431333211745
RG Sharma,251,6630,5183,109,599.0,281.0,127.91819409608335
DA Warner,184,6567,4849,126,663.0,236.0,135.4299855640338
SK Raina,200,5536,4177,100,506.0,204.0,132.53531242518554
MS Dhoni,228,5243,3947,84,363.0,252.0,132.8350646060299
AB de Villiers,170,5181,3487,133,414.0,253.0,148.58044164037855
CH Gayle,141,4997,3516,175,408.0,359.0,142.1217292377702
RV Uthappa,197,4954,3927,88,481.0,182.0,126.15227909345556
KD Karthik,233,4843,3687,97,466.0,161.0,131.35340385136968
KL Rahul,122,4689,3578,132,400.0,187.0,131.05086640581328
AM Rahane,171,4642,3858,105,479.0,103.0,120.32141005702437
F du Plessis,138,4571,3435,96,422.0,166.0,133.07132459970887
SV Samson,162,4419,3270,119,352.0,206.0,135.1376146788991
AT Rayudu,185,4348,3490,100,359.0,173.0,124.58452722063038
G Gambhir,151,4217,3524,93,492.0,59.0,119.66515323496027
SR Watson,141,3880,2892,117,377.0,190.0,134.1632088520055
MK Pandey,158,3859,3288,114,335.0,111.0,117.36618004866179
SA Yadav,135,3594,2522,103,385.0,130.0,142.50594766058683
JC Buttler,106,3583,2519,124,356.0,161.0,142.23898372369987
KA Pollard,168,3437,2447,87,221.0,224.0,140.45770331017573
RR Pant,110,3297,2296,128,298.0,154.0,143.59756097560975
YK Pathan,153,3222,2334,100,263.0,161.0,138.04627249357327
Shubman Gill,99,3216,2432,129,310.0,95.0,132.23684210526315
Q de Kock,107,3160,2410,140,316.0,123.0,131.12033195020746
SS Iyer,114,3131,2545,96,272.0,113.0,123.02554027504911
RA Jadeja,180,2959,2378,62,215.0,107.0,124.4322960470984
WP Saha,143,2934,2368,115,296.0,87.0,123.90202702702702
DA Miller,123,2924,2171,101,207.0,134.0,134.68447719944726
BB McCullum,109,2882,2272,158,293.0,130.0,126.84859154929578
PA Patel,136,2848,2442,81,365.0,49.0,116.62571662571663
GJ Maxwell,128,2772,1842,95,233.0,160.0,150.4885993485342
Yuvraj Singh,126,2754,2207,83,218.0,149.0,124.78477571363842
V Sehwag,104,2728,1833,122,334.0,106.0,148.82705946535734
MA Agarwal,121,2669,2081,106,265.0,98.0,128.25564632388276
Ishan Kishan,99,2644,1991,99,255.0,119.0,132.79758915118032
N Rana,101,2636,2015,87,234.0,132.0,130.81885856079404
M Vijay,105,2619,2208,127,247.0,91.0,118.61413043478262
HH Pandya,128,2534,1814,91,189.0,137.0,139.69128996692393
SPD Smith,93,2495,1999,101,226.0,60.0,124.81240620310155
SE Marsh,69,2489,1913,115,269.0,78.0,130.10977522216413
AD Russell,104,2488,1515,88,171.0,209.0,164.22442244224422
JH Kallis,95,2427,2291,89,255.0,44.0,105.93627237014405
DR Smith,88,2385,1803,87,245.0,117.0,132.27953410981698
RD Gaikwad,65,2380,1781,108,217.0,91.0,133.63279056709715
SR Tendulkar,78,2334,2044,100,296.0,29.0,114.18786692759295
RA Tripathi,93,2236,1650,93,223.0,84.0,135.51515151515153
R Dravid,82,2174,1918,75,269.0,28.0,113.34723670490095
KS Williamson,76,2132,1734,89,187.0,64.0,122.95271049596307
AJ Finch,90,2092,1696,88,214.0,78.0,123.34905660377358
AC Gilchrist,80,2069,1555,109,239.0,92.0,133.05466237942122
JP Duminy,75,2029,1680,78,126.0,79.0,120.77380952380952
MEK Hussey,58,1977,1648,116,198.0,52.0,119.96359223300972
PP Shaw,79,1892,1321,99,238.0,61.0,143.22482967448903
MP Stoinis,88,1866,1366,124,150.0,91.0,136.60322108345534
DPMD Jayawardene,78,1808,1522,110,200.0,40.0,118.7910643889619
N Pooran,72,1769,1143,77,113.0,127.0,154.7681539807524
Mandeep Singh,97,1706,1418,77,176.0,38.0,120.31029619181946
MK Tiwary,83,1695,1489,75,156.0,40.0,113.83478844862324
KC Sangakkara,68,1687,1424,94,195.0,27.0,118.4691011235955
AR Patel,112,1653,1318,66,107.0,79.0,125.41729893778452
KH Pandya,107,1647,1287,86,144.0,61.0,127.97202797202797
YBK Jaiswal,52,1607,1095,124,199.0,64.0,146.7579908675799
JM Bairstow,50,1589,1132,114,166.0,69.0,140.37102473498234
DJ Bravo,110,1560,1247,70,120.0,66.0,125.10024057738573
D Padikkal,64,1559,1323,101,170.0,42.0,117.83824640967498
NV Ojha,94,1554,1360,94,121.0,79.0,114.26470588235293
SP Narine,106,1534,984,109,164.0,97.0,155.8943089430894
S Dube,61,1502,1077,95,86.0,101.0,139.46146703806872
KK Nair,68,1496,1192,83,161.0,39.0,125.503355704698
SS Tiwary,73,1494,1291,61,111.0,50.0,115.72424477149497
DJ Hooda,96,1466,1170,64,96.0,61.0,125.2991452991453
S Badrinath,65,1441,1245,71,154.0,28.0,115.74297188755021
EJG Morgan,74,1406,1181,68,112.0,64.0,119.05165114309906
BJ Hodge,63,1400,1153,73,122.0,43.0,121.42237640936686
Abhishek Sharma,61,1377,925,75,128.0,73.0,148.86486486486484
SC Ganguly,56,1349,1326,91,137.0,42.0,101.73453996983409
CA Lynn,42,1329,974,93,132.0,66.0,136.4476386036961
VR Iyer,49,1326,1000,104,121.0,61.0,132.6
DJ Hussey,61,1322,1101,71,90.0,60.0,120.07266121707538
SO Hetmyer,65,1243,854,75,76.0,82.0,145.5503512880562
KM Jadhav,81,1208,1012,69,102.0,40.0,119.36758893280633
R Parag,58,1173,909,84,84.0,60.0,129.04290429042905
MM Ali,57,1162,849,93,95.0,67.0,136.86690223792698
Tilak Varma,38,1156,830,84,90.0,58.0,139.27710843373492
TM Dilshan,50,1153,1047,76,140.0,24.0,110.12416427889207
IK Pathan,82,1150,985,60,88.0,38.0,116.75126903553299
V Shankar,58,1115,890,63,80.0,45.0,125.2808988764045
ML Hayden,32,1107,839,93,121.0,44.0,131.94278903456495
M Vohra,51,1083,863,95,104.0,43.0,125.49246813441484
LMP Simmons,29,1079,878,100,109.0,44.0,122.89293849658314
B Sai Sudharsan,25,1034,770,103,95.0,32.0,134.28571428571428
LRPL Taylor,54,1017,847,81,66.0,46.0,120.07083825265643
R Tewatia,65,1013,788,53,84.0,47.0,128.55329949238578
KP Pietersen,36,1001,758,103,91.0,40.0,132.05804749340368
MC Henriques,54,1000,801,74,87.0,28.0,124.84394506866417
AK Markram,42,995,787,68,73.0,35.0,126.4294790343075
H Klaasen,32,993,613,104,56.0,64.0,161.99021207177816
Y Venugopal Rao,52,985,865,71,77.0,37.0,113.87283236994219
JA Morkel,67,975,712,73,61.0,55.0,136.93820224719101
A Symonds,36,974,781,117,74.0,41.0,124.71190781049937
CL White,45,971,774,78,76.0,38.0,125.45219638242895
LS Livingstone,39,939,609,94,66.0,66.0,154.1871921182266
BA Stokes,43,935,718,107,81.0,32.0,130.22284122562675
DP Conway,22,924,669,92,100.0,30.0,138.11659192825113
RK Singh,40,893,654,67,67.0,46.0,136.54434250764527
HH Gibbs,36,886,837,69,83.0,31.0,105.8542413381123
SM Curran,48,883,673,63,74.0,37.0,131.2035661218425
STR Binny,66,880,700,48,66.0,35.0,125.71428571428571
Harbhajan Singh,88,833,636,64,79.0,42.0,130.9748427672956
R Ashwin,89,800,698,50,61.0,28.0,114.61318051575931
RM Patidar,24,799,534,112,51.0,54.0,149.625468164794
MS Bisla,39,798,737,92,93.0,23.0,108.27679782903662
Shakib Al Hasan,52,795,665,66,73.0,21.0,119.54887218045114
TM Head,25,772,458,102,76.0,40.0,168.5589519650655
ST Jayasuriya,30,768,573,114,84.0,39.0,134.03141361256544
P Simran Singh,34,756,528,103,78.0,41.0,143.1818181818182
GC Smith,29,739,691,91,94.0,9.0,106.9464544138929
JM Sharma,36,730,501,49,53.0,45.0,145.70858283433134
AD Mathews,41,724,599,65,44.0,29.0,120.86811352253757
C Green,28,707,472,100,62.0,32.0,149.78813559322032
TL Suman,39,676,587,78,55.0,26.0,115.1618398637138
AM Nayar,50,672,588,45,55.0,20.0,114.28571428571428
MR Marsh,36,665,532,89,48.0,38.0,125.0
GJ Bailey,36,663,552,61,59.0,19.0,120.1086956521739
TH David,35,659,417,46,38.0,46.0,158.0335731414868
E Lewis,26,654,499,65,62.0,36.0,131.06212424849699
PD Salt,21,653,385,89,74.0,34.0,169.6103896103896
A Badoni,35,634,505,59,46.0,24.0,125.54455445544555
PP Chawla,86,624,580,24,56.0,20.0,107.58620689655172
CH Morris,49,618,413,82,41.0,35.0,149.636803874092
JJ Roy,21,614,460,91,75.0,21.0,133.47826086956522
JD Ryder,29,604,466,86,69.0,19.0,129.6137339055794
SN Khan,36,585,456,67,63.0,14.0,128.28947368421052
Abdul Samad,39,579,408,37,37.0,36.0,141.91176470588235
HM Amla,16,577,418,104,60.0,21.0,138.03827751196172
M Shahrukh Khan,37,553,413,58,35.0,37.0,133.89830508474577
Rashid Khan,58,545,355,79,39.0,38.0,153.52112676056336
CJ Anderson,29,538,436,95,40.0,31.0,123.39449541284404
Shahbaz Ahmed,37,536,467,59,28.0,25.0,114.77516059957173
RS Bopara,22,531,468,84,39.0,16.0,113.46153846153845
MK Lomror,35,527,389,54,33.0,30.0,135.47557840616966
JP Faulkner,45,527,406,46,36.0,23.0,129.80295566502463
PJ Cummins,39,515,359,66,33.0,34.0,143.4540389972145
M Manhas,38,514,486,42,43.0,10.0,105.76131687242798
Gurkeerat Singh,32,511,436,65,55.0,11.0,117.20183486238531
OA Shah,22,506,405,76,34.0,23.0,124.93827160493827
PC Valthaty,23,505,432,120,61.0,20.0,116.89814814814814
SW Billings,27,503,399,56,40.0,20.0,126.06516290726817
RR Rossouw,22,473,321,82,45.0,25.0,147.35202492211837
DT Christian,41,460,408,39,23.0,19.0,112.74509803921569
NLTC Perera,30,424,326,40,23.0,26.0,130.06134969325154
SA Asnodkar,19,423,352,60,56.0,10.0,120.17045454545455
Shashank Singh,19,423,272,68,33.0,25.0,155.51470588235296
JR Hopes,19,417,314,71,49.0,11.0,132.80254777070064
J Botha,28,409,364,67,39.0,5.0,112.36263736263736
LR Shukla,33,405,358,48,33.0,16.0,113.12849162011173
T Stubbs,17,405,239,71,26.0,26.0,169.4560669456067
AL Menaria,23,401,367,40,24.0,18.0,109.26430517711172
MV Boucher,23,394,318,50,32.0,13.0,123.89937106918238
CA Pujara,22,390,403,51,50.0,4.0,96.7741935483871
Azhar Mahmood,21,388,311,80,39.0,13.0,124.7588424437299
A Mishra,55,381,440,31,31.0,5.0,86.5909090909091
KR Mayers,13,379,276,73,38.0,22.0,137.31884057971016
Washington Sundar,38,378,341,40,32.0,9.0,110.85043988269794
DB Ravi Teja,25,375,325,60,35.0,9.0,115.38461538461537
S Sohal,20,368,311,62,34.0,18.0,118.32797427652733
P Negi,35,365,301,36,27.0,16.0,121.26245847176081
Abishek Porel,16,360,244,65,37.0,15.0,147.54098360655738
R Powell,22,360,254,67,21.0,28.0,141.73228346456693
KV Sharma,39,351,306,39,20.0,17.0,114.70588235294117
DJ Mitchell,15,351,274,63,28.0,10.0,128.1021897810219
N Wadhera,16,350,261,64,32.0,18.0,134.09961685823754
Dhruv Jurel,22,347,237,56,29.0,16.0,146.41350210970467
R Bhatia,47,342,290,26,24.0,13.0,117.9310344827586
P Kumar,57,340,323,34,22.0,17.0,105.26315789473684
AP Tare,27,339,285,59,40.0,11.0,118.94736842105263
J Fraser-McGurk,9,330,150,84,32.0,28.0,220.00000000000003
JEC Franklin,16,327,309,79,25.0,9.0,105.8252427184466
RN ten Doeschate,21,326,238,70,26.0,15.0,136.9747899159664
Anuj Rawat,21,318,276,66,26.0,14.0,115.21739130434783
R Vinay Kumar,42,310,289,26,21.0,9.0,107.26643598615917
SN Thakur,35,307,228,68,27.0,13.0,134.64912280701756
B Kumar,65,306,338,27,30.0,3.0,90.53254437869822
Lalit Yadav,21,305,301,48,27.0,7.0,101.32890365448506
DB Das,22,304,267,35,23.0,16.0,113.85767790262172
C de Grandhomme,21,303,229,40,18.0,18.0,132.31441048034935
Nithish Kumar Reddy,11,303,221,76,15.0,21.0,137.10407239819006
LA Pomersbach,16,302,251,79,25.0,13.0,120.3187250996016
UBT Chand,20,300,314,58,32.0,9.0,95.54140127388536
DJG Sammy,20,295,251,60,15.0,18.0,117.52988047808766
SP Goswami,21,293,307,52,32.0,3.0,95.43973941368078
Rahmanullah Gurbaz,13,289,228,81,24.0,19.0,126.75438596491229
Y Nagar,20,285,271,44,20.0,9.0,105.1660516605166
GH Vihari,23,284,331,46,23.0,1.0,85.80060422960725
VVS Laxman,20,282,271,52,33.0,5.0,104.0590405904059
A Ashish Reddy,23,280,196,36,16.0,15.0,142.85714285714286
B Chipli,21,280,256,61,28.0,7.0,109.375
MJ Lumb,12,278,198,83,45.0,6.0,140.4040404040404
PBB Rajapaksa,13,277,201,50,22.0,15.0,137.81094527363186
PK Garg,19,273,247,51,16.0,9.0,110.5263157894737
MJ Guptill,13,271,197,50,24.0,15.0,137.56345177664974
R Sathish,24,270,236,27,22.0,6.0,114.40677966101696
M Kaif,22,259,258,34,22.0,6.0,100.3875968992248
JO Holder,27,259,217,47,13.0,18.0,119.35483870967742
HV Patel,37,249,214,36,16.0,15.0,116.35514018691589
Atharva Taide,9,247,177,66,27.0,8.0,139.54802259887003
K Gowtham,27,247,159,33,15.0,17.0,155.34591194968556
SM Katich,11,241,191,75,26.0,8.0,126.17801047120419
BCJ Cutting,17,238,146,39,15.0,19.0,163.013698630137
MD Mishra,17,237,213,41,24.0,8.0,111.26760563380283
Harpreet Brar,24,233,201,29,19.0,9.0,115.92039800995025
A Manohar,15,231,181,43,21.0,10.0,127.62430939226519
WG Jacks,8,230,133,100,16.0,18.0,172.93233082706766
D Brevis,10,230,176,49,17.0,16.0,130.6818181818182
R Ravindra,10,222,146,61,22.0,12.0,152.05479452054794
Mohammad Nabi,19,221,157,37,18.0,12.0,140.76433121019107
K Goel,16,218,239,38,17.0,9.0,91.21338912133892
AA Jhunjhunwala,15,217,218,53,19.0,5.0,99.54128440366972
R Dhawan,22,210,188,25,18.0,7.0,111.70212765957446
UT Yadav,48,208,211,24,16.0,9.0,98.5781990521327
K Rabada,28,206,207,44,16.0,8.0,99.51690821256038
CA Ingram,15,205,183,47,22.0,5.0,112.02185792349727
PD Collingwood,7,203,159,75,9.0,13.0,127.67295597484276
KS Bharat,8,199,168,78,12.0,8.0,118.45238095238095
JC Archer,23,199,132,27,11.0,14.0,150.75757575757575
SK Warne,27,198,219,34,14.0,6.0,90.41095890410958
JD Unadkat,27,197,170,26,16.0,7.0,115.88235294117648
SP Fleming,10,196,171,45,27.0,3.0,114.61988304093566
AS Raut,16,194,172,36,13.0,7.0,112.79069767441861
BJ Rohrer,8,193,146,64,21.0,5.0,132.1917808219178
Salman Butt,7,193,172,73,30.0,2.0,112.20930232558139
YV Takawale,10,192,183,45,26.0,3.0,104.91803278688525
HC Brook,11,190,159,100,23.0,4.0,119.49685534591194
Ashutosh Sharma,9,189,118,61,10.0,15.0,160.16949152542372
Bipul Sharma,17,187,124,35,11.0,9.0,150.80645161290323
Kuldeep Yadav,32,183,224,35,16.0,3.0,81.69642857142857
FY Fazal,11,183,179,45,22.0,1.0,102.23463687150837
SD Hope,9,183,125,41,12.0,12.0,146.4
MS Wade,14,183,185,35,23.0,2.0,98.91891891891892
Sikandar Raza,9,182,143,57,12.0,8.0,127.27272727272727
AC Voges,7,181,143,45,15.0,3.0,126.57342657342659
CR Brathwaite,14,181,120,43,10.0,16.0,150.83333333333334
S Gopal,22,180,173,24,19.0,2.0,104.04624277456647
AB Agarkar,18,179,160,39,13.0,5.0,111.87499999999999
MF Maharoof,14,177,124,39,12.0,9.0,142.74193548387098
C Munro,11,177,144,40,19.0,8.0,122.91666666666667
DH Yagnik,17,170,142,34,23.0,2.0,119.71830985915493
Ramandeep Singh,13,170,106,35,8.0,13.0,160.37735849056605
CM Gautam,13,169,158,33,17.0,6.0,106.9620253164557
MG Johnson,28,167,168,16,10.0,7.0,99.40476190476191
DW Steyn,33,167,163,19,14.0,3.0,102.45398773006136
MN van Wyk,5,167,135,74,19.0,1.0,123.7037037037037
PA Reddy,10,164,167,42,15.0,2.0,98.20359281437125
A Raghuvanshi,7,163,109,54,16.0,8.0,149.54128440366972
N Jagadeesan,10,162,155,39,21.0,2.0,104.51612903225806
MN Samuels,14,161,174,46,9.0,7.0,92.52873563218391
R McLaren,13,159,178,51,14.0,1.0,89.32584269662921
RE van der Merwe,15,159,144,35,11.0,8.0,110.41666666666667
AD Hales,6,148,119,45,13.0,6.0,124.36974789915966
D Wiese,11,148,105,47,12.0,7.0,140.95238095238096
SM Pollock,8,147,116,33,12.0,8.0,126.72413793103448
S Vidyut,8,145,115,54,21.0,3.0,126.08695652173914
Sachin Baby,11,144,123,33,11.0,5.0,117.07317073170731
N Saini,10,140,143,50,16.0,0.0,97.9020979020979
Naman Dhir,7,140,84,62,12.0,10.0,166.66666666666669
Anmolpreet Singh,9,139,117,36,19.0,3.0,118.80341880341881
S Anirudha,12,136,121,64,9.0,7.0,112.39669421487604
SB Styris,10,131,134,36,10.0,3.0,97.76119402985076
W Jaffer,8,130,129,50,14.0,3.0,100.7751937984496
RD Chahar,22,129,127,25,13.0,5.0,101.5748031496063
Kamran Akmal,6,128,78,53,13.0,8.0,164.1025641025641
TK Curran,10,127,108,54,10.0,3.0,117.59259259259258
P Dogra,12,127,141,41,4.0,5.0,90.0709219858156
UT Khawaja,6,127,105,30,14.0,3.0,120.95238095238095
SS Prabhudessai,10,126,113,34,11.0,4.0,111.50442477876106
M Morkel,20,126,93,23,11.0,5.0,135.48387096774192
MC Juneja,7,125,134,49,11.0,1.0,93.28358208955224
BB Samantray,8,125,116,55,13.0,2.0,107.75862068965519
B Lee,19,124,102,25,8.0,8.0,121.56862745098039
MM Sharma,28,124,137,21,9.0,4.0,90.51094890510949
Harpreet Singh,8,123,119,41,10.0,3.0,103.36134453781514
AB McDonald,9,123,103,33,9.0,4.0,119.41747572815532
DL Vettori,16,121,118,29,11.0,2.0,102.54237288135593
NK Patel,6,121,124,57,14.0,1.0,97.58064516129032
AC Blizzard,7,120,91,51,21.0,2.0,131.86813186813185
TG Southee,19,120,108,36,8.0,4.0,111.11111111111111
MW Short,6,117,99,36,15.0,4.0,118.18181818181819
RJ Harris,21,117,112,17,6.0,3.0,104.46428571428572
Misbah-ul-Haq,8,117,82,47,10.0,6.0,142.6829268292683
Z Khan,27,117,141,23,11.0,2.0,82.97872340425532
KK Cooper,12,116,70,32,9.0,8.0,165.71428571428572
R Shepherd,9,115,68,39,7.0,10.0,169.11764705882354
Aman Hakim Khan,10,115,109,51,8.0,6.0,105.50458715596329
DJM Short,7,115,102,44,11.0,5.0,112.74509803921569
M Kartik,14,113,109,21,7.0,1.0,103.6697247706422
DJ Harris,4,111,103,47,11.0,5.0,107.76699029126213
