bowler,wickets,runs_conceded,balls_bowled,economy
YS Chahal,213.0,4681,3628,7.741455347298787
DJ Bravo,207.0,4436,3296,8.075242718446601
PP Chawla,201.0,5179,3895,7.977920410783056
SP Narine,200.0,4672,4146,6.7612156295224315
R Ashwin,198.0,5435,4679,6.969437914084206
B Kumar,195.0,5051,4060,7.464532019704434
SL Malinga,188.0,3486,2974,7.032952252858103
A Mishra,183.0,4193,3444,7.304878048780488
JJ Bumrah,182.0,3840,3185,7.233908948194662
RA Jadeja,169.0,4917,3895,7.5743260590500645
UT Yadav,163.0,4442,3190,8.354858934169279
Harbhajan Singh,161.0,4101,3496,7.0383295194508015
Rashid Khan,157.0,3340,2901,6.907962771458118
Sandeep Sharma,153.0,3758,2925,7.708717948717949
HV Patel,151.0,3215,2284,8.44570928196147
MM Sharma,147.0,3278,2308,8.52166377816291
Mohammed Shami,144.0,3486,2521,8.296707655692185
AR Patel,131.0,3824,3152,7.279187817258883
TA Boult,128.0,3286,2428,8.120263591433279
R Vinay Kumar,127.0,3041,2186,8.346752058554438
K Rabada,126.0,2652,1907,8.34399580492921
AD Russell,125.0,2691,1771,9.116883116883116
A Nehra,121.0,2537,1974,7.711246200607903
Z Khan,119.0,2860,2276,7.539543057996485
JD Unadkat,109.0,3219,2194,8.803099361896079
SR Watson,107.0,2742,2137,7.698642957416939
CH Morris,107.0,2377,1801,7.91893392559689
DW Steyn,105.0,2583,2282,6.791411042944786
P Kumar,102.0,3342,2637,7.604095563139932
SN Thakur,100.0,2908,1979,8.816574027286508
RP Singh,100.0,2417,1874,7.738527214514408
IK Pathan,99.0,2711,2113,7.698059630856601
PP Ojha,99.0,2399,1945,7.40051413881748
JA Morkel,96.0,2409,1807,7.998893193137797
I Sharma,96.0,3255,2429,8.04034582132565
Mohammed Siraj,96.0,2894,2081,8.34406535319558
DS Kulkarni,91.0,2513,1876,8.03731343283582
Kuldeep Yadav,90.0,2413,1786,8.106382978723405
M Morkel,88.0,2136,1699,7.543260741612713
Imran Tahir,86.0,1729,1340,7.741791044776119
CV Varun,85.0,2042,1624,7.544334975369457
L Balaji,85.0,2083,1574,7.940279542566709
Arshdeep Singh,84.0,2097,1453,8.659325533379215
KV Sharma,82.0,2130,1520,8.407894736842104
MM Patel,82.0,1733,1382,7.523878437047757
R Bhatia,82.0,2059,1661,7.437688139674895
AB Dinda,82.0,2103,1589,7.940843297671492
Avesh Khan,81.0,2010,1390,8.676258992805757
KA Pollard,81.0,2200,1586,8.32282471626734
KH Pandya,80.0,2644,2183,7.267063673843335
DL Chahar,79.0,2243,1746,7.707903780068729
KK Ahmed,78.0,1918,1345,8.556133828996282
JP Faulkner,76.0,1849,1287,8.62004662004662
T Natarajan,76.0,2001,1401,8.569593147751606
RD Chahar,76.0,2165,1697,7.65468473777254
MJ McClenaghan,75.0,1839,1346,8.197622585438335
JH Kallis,74.0,2348,1799,7.8310172317954425
SK Trivedi,73.0,1944,1557,7.491329479768786
Shakib Al Hasan,71.0,1864,1515,7.3821782178217825
Mustafizur Rahman,70.0,1792,1353,7.946784922394679
HH Pandya,70.0,2196,1485,8.872727272727273
Ravi Bishnoi,68.0,1861,1460,7.647945205479452
M Muralitharan,67.0,1765,1581,6.698292220113852
PJ Cummins,66.0,1976,1370,8.654014598540146
MG Johnson,66.0,1740,1301,8.024596464258263
S Kaul,63.0,1772,1238,8.588045234248789
SM Curran,62.0,1924,1234,9.354943273905997
A Nortje,62.0,1614,1097,8.82771194165907
SK Warne,60.0,1465,1223,7.187244480784955
JO Holder,59.0,1489,1049,8.516682554814109
MA Starc,59.0,1175,879,8.020477815699659
TG Southee,57.0,1774,1262,8.434231378763867
LH Ferguson,57.0,1451,1002,8.688622754491018
M Prasidh Krishna,54.0,1741,1231,8.48578391551584
S Nadeem,54.0,1800,1444,7.4792243767313025
S Gopal,53.0,1358,1000,8.148
NM Coulter-Nile,52.0,1125,892,7.567264573991032
SB Jakati,50.0,1474,1101,8.032697547683924
A Kumble,49.0,1089,983,6.646998982706002
JC Archer,49.0,1210,987,7.355623100303951
S Aravind,48.0,1057,788,8.048223350253807
AJ Tye,48.0,1005,714,8.445378151260504
RJ Harris,47.0,1085,865,7.526011560693642
MC Henriques,46.0,1302,979,7.9795709908069465
YK Pathan,46.0,1443,1184,7.3125
TU Deshpande,46.0,1275,831,9.205776173285198
VR Aaron,46.0,1527,1065,8.60281690140845
MP Stoinis,45.0,1300,831,9.386281588447654
Iqbal Abdulla,45.0,1125,943,7.158006362672323
PJ Sangwan,44.0,1267,905,8.4
P Awana,43.0,1046,774,8.108527131782946
S Sreesanth,43.0,1221,947,7.736008447729672
DE Bollinger,43.0,716,600,7.16
R Sharma,42.0,1100,935,7.0588235294117645
GJ Maxwell,41.0,1311,965,8.151295336787564
MM Ali,40.0,900,770,7.012987012987012
DT Christian,40.0,1218,922,7.926247288503254
WD Parnell,40.0,968,758,7.6622691292875995
M Kartik,39.0,1418,1182,7.197969543147208
MS Gony,39.0,1317,925,8.542702702702703
Washington Sundar,39.0,1335,1064,7.5281954887218046
Yuvraj Singh,39.0,1091,882,7.421768707482993
P Negi,38.0,954,733,7.80900409276944
DP Nannes,38.0,815,689,7.097242380261249
M Pathirana,38.0,617,503,7.359840954274354
M Markande,37.0,1081,737,8.800542740841248
NLTC Perera,37.0,1031,715,8.651748251748252
MR Marsh,37.0,803,593,8.1247892074199
JR Hazlewood,36.0,830,622,8.006430868167202
R Tewatia,36.0,1117,866,7.739030023094688
KK Cooper,36.0,789,600,7.89
PWH de Silva,36.0,758,557,8.165170556552964
CJ Jordan,36.0,1111,717,9.297071129707113
M Ashwin,35.0,1182,898,7.8975501113585755
DL Vettori,34.0,894,785,6.83312101910828
Shivam Mavi,33.0,958,687,8.366812227074236
MF Maharoof,33.0,532,441,7.238095238095238
AB Agarkar,33.0,1174,820,8.590243902439026
Umran Malik,31.0,785,519,9.07514450867052
A Singh,31.0,639,486,7.888888888888889
Harmeet Singh,31.0,747,574,7.808362369337979
Azhar Mahmood,31.0,707,552,7.684782608695652
BA Stokes,31.0,1023,723,8.489626556016598
Mukesh Kumar,31.0,707,420,10.1
Yash Dayal,31.0,933,615,9.102439024390243
CR Woakes,31.0,674,463,8.734341252699783
SK Raina,30.0,1139,930,7.348387096774194
B Lee,30.0,1126,916,7.3755458515283845
A Zampa,30.0,562,425,7.934117647058824
AD Mathews,28.0,1095,807,8.141263940520446
STR Binny,28.0,763,611,7.4926350245499185
L Ngidi,28.0,460,342,8.070175438596491
PV Tambe,28.0,866,674,7.70919881305638
R Dhawan,27.0,922,693,7.982683982683983
Mohsin Khan,27.0,698,507,8.2603550295858
DR Smith,27.0,825,557,8.88689407540395
Harshit Rana,27.0,590,403,8.784119106699752
Yash Thakur,27.0,702,432,9.75
J Botha,27.0,818,709,6.922425952045134
Navdeep Saini,26.0,968,682,8.516129032258064
SW Tait,26.0,668,534,7.50561797752809
Naveen-ul-Haq,26.0,602,407,8.874692874692876
Basil Thampi,26.0,862,539,9.595547309833025
GB Hogg,25.0,585,466,7.532188841201716
RE van der Merwe,25.0,515,455,6.791208791208792
M Theekshana,25.0,814,631,7.740095087163232
Harpreet Brar,25.0,907,692,7.864161849710983
Sohail Tanvir,24.0,275,265,6.226415094339623
Noor Ahmad,24.0,672,513,7.859649122807017
AS Rajpoot,24.0,844,567,8.931216931216932
BW Hilfenhaus,23.0,497,390,7.6461538461538465
JP Duminy,23.0,847,701,7.249643366619116
A Symonds,23.0,694,540,7.711111111111111
Bipul Sharma,22.0,581,436,7.9954128440366965
JP Behrendorff,22.0,563,379,8.91292875989446
WPUJC Vaas,22.0,364,288,7.583333333333333
VY Mahesh,22.0,511,359,8.540389972144846
K Gowtham,22.0,825,599,8.263772954924875
Akash Madhwal,22.0,431,279,9.268817204301076
M Jansen,22.0,732,487,9.018480492813142
AS Joseph,22.0,707,454,9.343612334801762
Shahbaz Ahmed,21.0,850,549,9.289617486338798
RP Meredith,21.0,621,415,8.978313253012047
Anureet Singh,21.0,636,430,8.874418604651162
KW Richardson,21.0,479,345,8.330434782608696
Mujeeb Ur Rahman,20.0,598,452,7.938053097345133
BB Sran,20.0,767,516,8.918604651162791
VG Arora,20.0,598,418,8.583732057416267
C Green,20.0,675,462,8.766233766233766
J Suchith,20.0,604,434,8.350230414746544
C Sakariya,20.0,610,460,7.956521739130435
CRD Fernando,19.0,306,249,7.373493975903615
AD Mascarenhas,19.0,365,310,7.064516129032258
NT Ellis,19.0,514,365,8.449315068493151
A Ashish Reddy,19.0,400,270,8.88888888888889
CH Gayle,19.0,755,584,7.756849315068494
IC Pandey,19.0,609,469,7.791044776119403
BJ Hodge,18.0,310,238,7.815126050420169
R Rampaul,17.0,319,278,6.884892086330935
D Wiese,17.0,447,307,8.736156351791532
Vijaykumar Vyshak,17.0,396,243,9.777777777777779
LR Shukla,17.0,458,326,8.429447852760736
RG Sharma,16.0,462,349,7.9426934097421205
Kartik Tyagi,16.0,720,458,9.43231441048035
VRV Singh,16.0,549,371,8.878706199460916
AC Thomas,16.0,416,327,7.63302752293578
CR Brathwaite,16.0,384,266,8.661654135338345
Mukesh Choudhary,16.0,452,298,9.100671140939598
MJ Santner,16.0,428,370,6.940540540540541
ST Jayasuriya,16.0,396,301,7.893687707641196
YA Abdulla,15.0,311,222,8.405405405405405
AN Ahmed,15.0,515,362,8.535911602209945
SJ Srivastava,15.0,444,306,8.705882352941176
RR Powar,15.0,538,443,7.286681715575622
DR Sams,15.0,528,389,8.143958868894602
Mohammad Nabi,15.0,527,419,7.5465393794749405
KR Sen,14.0,396,255,9.31764705882353
DJG Sammy,14.0,354,244,8.704918032786885
R McLaren,14.0,558,372,9.0
Kamran Khan,14.0,248,177,8.40677966101695
S Lamichhane,14.0,297,211,8.445497630331754
CJ Anderson,14.0,525,315,10.0
GD McGrath,14.0,366,329,6.674772036474164
Karanveer Singh,14.0,323,213,9.098591549295774
Umar Gul,14.0,198,153,7.764705882352941
JR Hopes,14.0,562,369,9.138211382113822
AB McDonald,14.0,263,188,8.393617021276595
CK Langeveldt,13.0,199,165,7.236363636363636
Joginder Sharma,13.0,421,272,9.286764705882353
J Little,13.0,341,236,8.669491525423728
TK Curran,13.0,432,252,10.285714285714286
J Theron,13.0,311,235,7.940425531914894
G Coetzee,13.0,357,216,9.916666666666666
JDP Oram,13.0,362,244,8.901639344262296
R Sai Kishore,13.0,259,191,8.136125654450263
SM Pollock,13.0,307,280,6.578571428571429
RS Bopara,13.0,301,213,8.47887323943662
BA Bhatt,13.0,408,303,8.07920792079208
Ankit Sharma,12.0,453,375,7.248
V Shankar,12.0,344,258,8.0
SC Ganguly,12.0,370,280,7.928571428571429
V Pratap Singh,12.0,300,211,8.530805687203792
BCJ Cutting,12.0,430,288,8.958333333333334
AG Murtaza,12.0,322,269,7.182156133828996
TS Mills,11.0,349,218,9.605504587155963
PVD Chameera,11.0,442,297,8.929292929292929
Abhishek Sharma,11.0,396,278,8.546762589928058
Lalit Yadav,11.0,430,294,8.775510204081632
Pankaj Singh,11.0,472,311,9.106109324758842
OC McCoy,11.0,255,180,8.5
JD Ryder,11.0,314,241,7.817427385892117
LS Livingstone,11.0,395,267,8.876404494382022
KP Appanna,11.0,291,222,7.864864864864865
A Chandila,11.0,245,234,6.282051282051282
JL Pattinson,11.0,321,222,8.675675675675675
Suyash Sharma,11.0,381,264,8.659090909090908
BE Hendricks,11.0,239,157,9.13375796178344
S Badree,11.0,329,263,7.505703422053232
MA Wood,11.0,192,127,9.070866141732283
Anand Rajan,10.0,206,162,7.62962962962963
Simarjeet Singh,10.0,265,193,8.238341968911918
N Rana,10.0,253,185,8.205405405405406
K Kartikeya,10.0,334,241,8.315352697095436
MN Samuels,10.0,285,219,7.808219178082192
J Syed Mohammad,10.0,286,196,8.755102040816327
DJ Hussey,10.0,485,323,9.009287925696594
B Laughlin,10.0,284,179,9.5195530726257
T Thushara,10.0,164,144,6.833333333333333
DJ Hooda,10.0,535,384,8.359375
KMA Paul,10.0,239,180,7.966666666666667
Shahid Afridi,9.0,237,185,7.686486486486487
Mohammad Asif,9.0,307,199,9.256281407035177
SMSM Senanayake,9.0,211,195,6.492307692307692
BAW Mendis,9.0,306,248,7.403225806451612
J Yadav,9.0,447,398,6.738693467336684
JEC Franklin,9.0,225,155,8.70967741935484
Rasikh Salam,9.0,341,207,9.884057971014492
KA Jamieson,9.0,271,179,9.083798882681565
AM Nayar,9.0,323,239,8.10878661087866
SB Styris,9.0,278,222,7.513513513513513
KP Pietersen,9.0,218,180,7.266666666666667
SE Bond,9.0,225,191,7.068062827225131
AF Milne,9.0,339,217,9.373271889400922
IS Sodhi,9.0,204,182,6.725274725274725
P Parameswaran,9.0,226,159,8.528301886792454
N Thushara,8.0,259,172,9.034883720930232
GC Viljoen,8.0,229,146,9.41095890410959
MP Yadav,8.0,88,76,6.947368421052632
A Mithun,8.0,477,312,9.173076923076923
Akash Deep,8.0,324,175,11.108571428571429
S Sandeep Warrier,8.0,257,176,8.761363636363637
S Randiv,8.0,223,180,7.433333333333334
AA Chavan,8.0,339,255,7.976470588235294
M Ntini,8.0,257,213,7.23943661971831
I Udana,8.0,286,182,9.428571428571429
KC Cariappa,8.0,349,224,9.348214285714285
JDS Neesham,8.0,342,222,9.243243243243244
B Akhil,7.0,246,193,7.647668393782384
N Burger,7.0,152,105,8.685714285714285
RR Raje,7.0,214,144,8.916666666666666
DJ Willey,7.0,277,221,7.520361990950226
AM Salvi,7.0,205,156,7.884615384615385
Swapnil Singh,7.0,241,165,8.763636363636364
KM Asif,7.0,232,143,9.734265734265735
R Shukla,7.0,217,130,10.015384615384615
Y Venugopal Rao,7.0,338,222,9.135135135135135
OF Smith,7.0,179,95,11.305263157894736
P Amarnath,7.0,241,132,10.954545454545455
TL Suman,7.0,198,152,7.815789473684211
B Stanlake,7.0,200,150,8.0
HF Gurney,7.0,239,169,8.485207100591715
PC Valthaty,7.0,207,153,8.117647058823529
D Pretorius,7.0,242,166,8.74698795180723
C de Grandhomme,7.0,323,230,8.426086956521738
SB Bangar,6.0,221,153,8.666666666666666
RV Gomez,6.0,130,97,8.041237113402062
AS Roy,6.0,191,142,8.070422535211268
DG Nalkande,6.0,150,89,10.112359550561797
MG Bracewell,6.0,95,66,8.636363636363637
VS Malik,6.0,268,212,7.584905660377358
KMDN Kulasekara,6.0,122,107,6.841121495327103
R Sathish,6.0,233,144,9.708333333333334
M de Lange,6.0,171,116,8.844827586206897
SS Cottrell,6.0,177,131,8.106870229007635
FH Edwards,6.0,160,150,6.4
JE Taylor,6.0,167,122,8.213114754098362
Arshad Khan,6.0,282,153,11.058823529411764
Fazalhaq Farooqi,6.0,229,162,8.481481481481481
R Shepherd,6.0,260,133,11.729323308270676
Jaskaran Singh,6.0,174,111,9.405405405405405
S Tyagi,6.0,304,220,8.290909090909091
V Sehwag,6.0,236,138,10.26086956521739
S Dube,6.0,190,117,9.743589743589743
S Narwal,6.0,203,113,10.778761061946904
Ramandeep Singh,6.0,64,45,8.533333333333333
S Kaushik,6.0,304,210,8.685714285714285
S Ladda,5.0,225,141,9.574468085106384
SB Wagh,5.0,147,108,8.166666666666666
Gurkeerat Singh,5.0,97,82,7.097560975609756
L Ablish,5.0,76,45,10.133333333333333
TM Dilshan,5.0,368,275,8.02909090909091
Shoaib Ahmed,5.0,154,103,8.970873786407767
R Parag,5.0,307,181,10.176795580110497
O Thomas,5.0,85,63,8.095238095238095
A Choudhary,5.0,144,108,8.0
PD Collingwood,5.0,101,90,6.733333333333333
AP Dole,5.0,114,73,9.36986301369863
KL Nagarkoti,5.0,287,185,9.308108108108108
Akash Singh,5.0,227,141,9.659574468085106
V Kohli,5.0,371,264,8.431818181818182
RJW Topley,5.0,182,107,10.205607476635514
K Khejroliya,5.0,221,129,10.279069767441861
Shoaib Akhtar,5.0,54,46,7.0434782608695645
HR Shokeen,5.0,320,213,9.014084507042254
DJ Muthuswami,4.0,108,84,7.714285714285714
Yudhvir Singh,4.0,125,74,10.135135135135135
Shivam Sharma,4.0,165,114,8.68421052631579
Parvez Rasool,4.0,273,200,8.19
T Stubbs,4.0,29,25,6.959999999999999
S Dhawan,4.0,72,49,8.816326530612246
SH Johnson,4.0,155,99,9.393939393939394
DP Vijaykumar,4.0,205,159,7.735849056603773
Y Nagar,4.0,125,72,10.416666666666666
Azmatullah Omarzai,4.0,194,131,8.885496183206108
LE Plunkett,4.0,228,154,8.883116883116882
D du Preez,4.0,56,43,7.813953488372093
Nithish Kumar Reddy,4.0,208,118,10.576271186440678
Arjun Tendulkar,4.0,117,83,8.457831325301205
Ankit Soni,4.0,145,112,7.767857142857142
WA Mota,4.0,98,75,7.84
JW Hastings,3.0,66,61,6.491803278688525
AL Menaria,3.0,144,113,7.646017699115045
RN ten Doeschate,3.0,94,83,6.795180722891566
SM Boland,3.0,56,43,7.813953488372093
DJ Thornely,3.0,40,44,5.454545454545455
A Uniyal,3.0,67,38,10.578947368421053
Gagandeep Singh,3.0,142,84,10.142857142857142
DAJ Bracewell,3.0,32,25,7.68
RJ Peterson,3.0,70,48,8.75
JM Kemp,3.0,58,47,7.404255319148937
JJ van der Wath,3.0,134,76,10.578947368421053
RS Hangargekar,3.0,60,43,8.372093023255813
MJ Clarke,3.0,72,66,6.545454545454546
R Ninan,3.0,65,36,10.833333333333334
TM Head,3.0,113,58,11.689655172413794
Sachin Baby,3.0,8,10,4.8
JA Richardson,3.0,162,94,10.340425531914894
P Sahu,3.0,152,107,8.52336448598131
GHS Garton,3.0,136,97,8.412371134020617
K Santokie,3.0,91,51,10.705882352941176
MJ Henry,3.0,183,105,10.457142857142857
T Shamsi,3.0,185,120,9.25
VR Iyer,3.0,145,84,10.357142857142858
Sikandar Raza,3.0,146,88,9.954545454545455
SM Harwood,3.0,74,67,6.6268656716417915
WG Jacks,2.0,100,55,10.90909090909091
D Kalyankrishna,2.0,88,50,10.559999999999999
AK Markram,2.0,173,123,8.439024390243903
Abdul Samad,2.0,113,55,12.327272727272728
PH Solanki,2.0,39,36,6.5
B Geeves,2.0,91,49,11.142857142857144
Mohammad Hafeez,2.0,71,63,6.761904761904762
Mayank Dagar,2.0,205,138,8.91304347826087
A Badoni,2.0,37,25,8.879999999999999
JPR Scantlebury-Searles,2.0,89,45,11.866666666666667
GD Phillips,2.0,40,31,7.741935483870967
SC Kuggeleijn,2.0,71,50,8.52
MK Lomror,2.0,127,94,8.106382978723405
Shoaib Malik,2.0,87,58,9.0
C Nanda,2.0,58,50,6.959999999999999
SD Chitnis,2.0,62,38,9.789473684210527
A Kamboj,2.0,115,68,10.147058823529411
K Yadav,2.0,85,54,9.444444444444445
AU Rashid,2.0,91,60,9.1
ND Doshi,2.0,79,57,8.31578947368421
KJ Abbott,2.0,182,102,10.705882352941176
DNT Zoysa,2.0,100,69,8.695652173913043
P Suyal,2.0,154,107,8.63551401869159
FA Allen,2.0,136,91,8.967032967032967
MA Khote,2.0,52,30,10.4
V Kaverappa,2.0,36,24,9.0
LJ Wright,2.0,125,75,10.0
A Flintoff,2.0,106,66,9.636363636363637
KA Maharaj,2.0,39,36,6.5
Y Prithvi Raj,1.0,57,33,10.363636363636363
AC Voges,1.0,76,56,8.142857142857142
AC Gilchrist,1.0,0,1,0.0
R Powell,1.0,35,21,10.0
MK Tiwary,1.0,83,45,11.066666666666666
KT Maphaka,1.0,90,39,13.846153846153847
LB Williams,1.0,74,42,10.571428571428571
M Siddharth,1.0,72,58,7.448275862068966
P Dubey,1.0,91,67,8.149253731343284
BMAJ Mendis,1.0,36,30,7.2
SS Agarwal,1.0,42,24,10.5
AA Noffke,1.0,41,25,9.84
LA Carseldine,1.0,6,7,5.142857142857142
AA Kazi,1.0,21,13,9.692307692307693
D Brevis,1.0,8,3,16.0
L Wood,1.0,94,38,14.842105263157896
GH Vihari,1.0,48,43,6.697674418604651
SS Mundhe,1.0,6,7,5.142857142857142
SS Sarkar,1.0,34,25,8.16
SSB Magala,1.0,52,37,8.432432432432432
IC Porel,1.0,42,26,9.692307692307693
TP Sudhindra,1.0,137,74,11.108108108108107
CL White,1.0,86,46,11.217391304347826
AA Jhunjhunwala,1.0,130,88,8.863636363636363
PM Sarvesh Kumar,1.0,42,31,8.129032258064516
SE Rutherford,1.0,60,46,7.826086956521739
D Jansen,1.0,53,28,11.357142857142856
CJ McKay,1.0,60,42,8.571428571428571
Mashrafe Mortaza,1.0,59,28,12.642857142857142
T Henderson,1.0,41,36,6.833333333333333
FY Fazal,1.0,20,12,10.0
AM Rahane,1.0,5,6,5.0
AJ Hosein,1.0,41,24,10.25
RJ Gleeson,1.0,72,51,8.470588235294118
GS Sandhu,1.0,86,48,10.75
AJ Finch,1.0,67,44,9.136363636363637
GR Napier,1.0,28,24,7.0
RG More,1.0,63,37,10.216216216216216
LI Meriwala,1.0,32,19,10.105263157894738
Shashank Singh,1.0,25,19,7.894736842105264
DJM Short,1.0,23,18,7.666666666666667
NB Singh,1.0,18,25,4.319999999999999
D Salunkhe,1.0,80,51,9.411764705882353
DB Ravi Teja,1.0,28,18,9.333333333333334
A Nel,1.0,31,18,10.333333333333334
S Vidyut,1.0,22,13,10.153846153846155
SA Abbott,1.0,104,59,10.576271186440678
V Viyaskanth,1.0,90,60,9.0
LMP Simmons,1.0,34,18,11.333333333333334
DJ Mitchell,1.0,97,51,11.411764705882353
SB Joshi,1.0,82,55,8.945454545454545
Sumit Kumar,0.0,38,22,10.363636363636363
YBK Jaiswal,0.0,6,1,36.0
DA Warner,0.0,2,2,6.0
VS Yeligati,0.0,61,32,11.4375
Tilak Varma,0.0,28,23,7.304347826086956
Vivrant Sharma,0.0,37,21,10.571428571428571
Tejas Baroka,0.0,33,21,9.428571428571429
A Dananjaya,0.0,47,25,11.28
Sunny Gupta,0.0,47,19,14.842105263157896
Y Gnaneswara Rao,0.0,7,6,7.0
C Munro,0.0,15,12,7.5
SZ Mulani,0.0,57,33,10.363636363636363
DJ Harris,0.0,26,18,8.666666666666666
Mohit Rathee,0.0,29,12,14.5
Aman Hakim Khan,0.0,13,6,13.0
Mandeep Singh,0.0,26,12,13.0
MW Short,0.0,25,25,6.0
MJ Suthar,0.0,26,12,13.0
Arshad Khan (2),0.0,25,13,11.53846153846154
MG Neser,0.0,62,25,14.879999999999999
Atharva Taide,0.0,4,1,24.0
MB Parmar,0.0,33,19,10.421052631578949
M Vijay,0.0,49,37,7.945945945945946
CJ Dala,0.0,34,19,10.736842105263158
M Shahrukh Khan,0.0,16,12,8.0
B Chipli,0.0,20,6,20.0
M Manhas,0.0,42,42,6.0
LRPL Taylor,0.0,24,13,11.076923076923078
LPC Silva,0.0,21,6,21.0
Gulbadin Naib,0.0,12,6,12.0
Gurnoor Brar,0.0,42,21,12.0
H Sharma,0.0,62,30,12.4
KS Williamson,0.0,31,18,10.333333333333334
KR Mayers,0.0,59,46,7.695652173913043
KAJ Roach,0.0,80,52,9.230769230769232
K Upadhyay,0.0,81,56,8.678571428571429
K Goel,0.0,94,67,8.417910447761194
Jalaj S Saxena,0.0,27,18,9.0
I Malhotra,0.0,23,6,23.0
BJ Rohrer,0.0,12,7,10.285714285714285
JE Root,0.0,15,12,7.5
C Ganapathy,0.0,13,6,13.0
Monu Kumar,0.0,20,16,7.5
N Wadhera,0.0,13,12,6.5
NA Saini,0.0,35,15,14.0
RR Bhatkal,0.0,35,12,17.5
SS Iyer,0.0,7,6,7.0
SR Tendulkar,0.0,59,37,9.567567567567567
SPD Smith,0.0,5,2,15.0
SN Khan,0.0,6,2,18.0
SA Yadav,0.0,8,6,8.0
S Sriram,0.0,49,18,16.333333333333332
S Rana,0.0,18,16,6.75
S Midhun,0.0,29,13,13.384615384615385
S Joseph,0.0,51,30,10.2
RW Price,0.0,33,18,11.0
RV Patel,0.0,22,20,6.6
RS Gavaskar,0.0,8,6,8.0
RR Bose,0.0,24,12,12.0
RA Tripathi,0.0,12,6,12.0
NJ Rimmington,0.0,20,18,6.666666666666667
RA Shaikh,0.0,11,6,11.0
R Sanjay Yadav,0.0,23,14,9.857142857142856
R Ravindra,0.0,7,12,3.5
R Goyal,0.0,34,24,8.5
AS Raut,0.0,45,30,9.0
AUK Pathan,0.0,63,41,9.219512195121952
P Ray Barman,0.0,56,24,14.0
P Prasanth,0.0,18,6,18.0
Abdur Razzak,0.0,29,14,12.428571428571427
CJ Green,0.0,24,17,8.470588235294118
Naman Dhir,0.0,55,29,11.379310344827587
F du Plessis,0.0,16,6,16.0
NL McCullum,0.0,35,30,7.0
CK Kapugedera,0.0,49,17,17.294117647058822
